samples	BAIT_SET	GENOME_SIZE	BAIT_TERRITORY	TARGET_TERRITORY	BAIT_DESIGN_EFFICIENCY	TOTAL_READS	PF_READS	PF_UNIQUE_READS	PCT_PF_READS	PCT_PF_UQ_READS	PF_UQ_READS_ALIGNED	PCT_PF_UQ_READS_ALIGNED	PF_BASES_ALIGNED	PF_UQ_BASES_ALIGNED	ON_BAIT_BASES	NEAR_BAIT_BASES	OFF_BAIT_BASES	ON_TARGET_BASES	PCT_SELECTED_BASES	PCT_OFF_BAIT	ON_BAIT_VS_SELECTED	MEAN_BAIT_COVERAGE	MEAN_TARGET_COVERAGE	MEDIAN_TARGET_COVERAGE	PCT_USABLE_BASES_ON_BAIT	PCT_USABLE_BASES_ON_TARGET	FOLD_ENRICHMENT	ZERO_CVG_TARGETS_PCT	PCT_EXC_DUPE	PCT_EXC_MAPQ	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_OFF_TARGET	FOLD_80_BASE_PENALTY	PCT_TARGET_BASES_1X	PCT_TARGET_BASES_2X	PCT_TARGET_BASES_10X	PCT_TARGET_BASES_20X	PCT_TARGET_BASES_30X	PCT_TARGET_BASES_40X	PCT_TARGET_BASES_50X	PCT_TARGET_BASES_100X	HS_LIBRARY_SIZE	HS_PENALTY_10X	HS_PENALTY_20X	HS_PENALTY_30X	HS_PENALTY_40X	HS_PENALTY_50X	HS_PENALTY_100X	AT_DROPOUT	GC_DROPOUT	HET_SNP_SENSITIVITY	HET_SNP_Q	SAMPLE	LIBRARY	READ_GROUP	BAMQC_TOTALREADS	BAMQC_PAIREDREADS	BAMQC_PROPPAIREDREADS	BAMQC_UNMAPREADS	BAMQC_MATEUNMAPREADS	BAMQC_SECONDARYREADS	BAMQC_QUALFAILREADS	BAMQC_READSPERSTARTPOINT	BAMQC_AVGREADLENGTH	BAMQC_INSERTMEAN	BAMQC_INSERTSD	BAMQC_SOFTCLIPBASES	BAMQC_HARDCLIPBASES	BAMQC_MISMATCHBASES	callability	purity	ploidy	SLPP	centre	proj_name	sample_type	tissue_type	run	proj_id	miso_id
HILL_1085_Blood	S07604715_Regions_sorted	3137161264	65894148	37285536	0.56584	139.524572	139.524572	128.717785	100	92.2546	128717785	100	17424061507	16075078608	12289.855057	2908.99964	2225.20681	5661152196	87.2291	0.127709	0.808604	186.509052	151.832394	135	0.703189	32.3914	33.580516	0.3462	7.7421	0.017622	0.014048	0.184289	71.6261	2.232829	0.994019	0.991758	0.978728	0.9606	0.938003	0.910308	0.876804	65.7222	366.530618	6.411494	6.491384	6.559861	6.63975	6.724205	7.180717	2.322002	8.430848	0.98984	20	0	0	0	141101233	136387605	135649872	268013	243930	95883	4349732	1.11503786727439	125.270483875716	216.329331147638	76.2182656439529	42655613	0	46187141	9999	9999	9999	9999	XYZ	SEQTHNG	Blood	Fresh	PROJECT_SEQTHNG_External	PROJECT_SEQTHNG	PROJECT_SEQTHNG_0082_Pb_R_PE_1_EX
HILL_1085_Tumor	S07604715_Regions_sorted	3137161264	65894148	37285536	0.56584	78.937325	78.937325	74.023785	100	93.7754	74023785	100	9855080349	9241855947	6791.786681	1757.164468	1306.1292	3183675636	86.7466	0.132534	0.794458	103.071166	85.386345	75	0.686728	32.1906	32.810577	0.4045	6.2224	0.018232	0.018723	0.174263	74.087	2.247009	0.993005	0.989927	0.96567	0.923423	0.863892	0.788746	0.705427	33.9053	256.605843	6.630452	6.746636	6.86282	6.991914	7.131334	7.895566	1.924271	10.358436	0.98661	19	0	0	0	79860471	77104280	76599495	176760	161351	60897	2518534	1.09442923991381	125.279750423712	224.960220878805	83.3462724040408	26797771	0	30204174	95.7	0.1	2.3	0.297212834432801	XYZ	SEQTHNG	Tumour	Fresh	PROJECT_SEQTHNG_External	PROJECT_SEQTHNG	PROJECT_SEQTHNG_0082_Bn_P_PE_1_EX
HILL_1108_Blood	S07604715_Regions_sorted	3137161264	65894148	37285536	0.56584	120.44509	120.44509	115.172016	100	95.622	115172016	100	14965930369	14310834840	9891.210024	2063.6339	3011.086445	4594666925	79.8804	0.201196	0.827381	150.107564	123.229204	109	0.6591	30.6165	31.465577	0.2695	4.3772	0.020025	0.007584	0.235618	69.6442	2.282022	0.994787	0.992422	0.977517	0.953807	0.919642	0.876247	0.825912	54.7897	515.191464	7.168991	7.227857	7.286723	7.34559	7.412305	7.773352	3.519793	4.440949	0.989771	20	0	0	0	121911734	117564931	116918532	73019	58254	113760	4160024	1.10379677681375	124.590298249739	196.827652031633	70.2398687868188	28440412	0	30982952	9999	9999	9999	9999	XYZ	SEQTHNG	Blood	Fresh	PROJECT_SEQTHNG_External	PROJECT_SEQTHNG	PROJECT_SEQTHNG_0099_Pb_R_PE_1_EX
HILL_1108_TB	S07604715_Regions_sorted	3137161264	65894148	37285536	0.56584	65.057238	65.057238	63.361177	100	97.393	63361177	100	8079053682	7868431374	5322.114094	1120.428497	1636.511091	2484592638	79.7438	0.202562	0.826089	80.767629	66.636903	60	0.656788	30.6617	31.362717	0.3417	2.607	0.020741	0.008642	0.243727	70.5219	2.22123	0.993198	0.989596	0.959873	0.896907	0.806893	0.704727	0.601129	19.7738	478.403604	7.099138	7.162574	7.226009	7.289445	7.361339	7.733494	3.319015	3.853911	0.984621	18	0	0	0	65961308	63477572	63005775	113566	100831	57004	2313166	1.08419941943582	124.598658546675	195.900167440685	70.0533982954552	16834818	0	17361344	94.3	0.19	3.7	0.251516587606665	XYZ	SEQTHNG	Tumour	Fresh	PROJECT_SEQTHNG_External	PROJECT_SEQTHNG	PROJECT_SEQTHNG_0099_Bn_P_PE_1_EX
HILL_1160_Blood	S07604715_Regions_sorted	3137161264	65894148	37285536	0.56584	133.267394	133.267394	127.223308	100	95.4647	127223308	100	16576073449	15824507702	10829.798794	2375.886097	3370.388558	5100006744	79.6671	0.203329	0.820086	164.35145	136.782444	120	0.651648	30.6876	31.104894	0.3156	4.534	0.020155	0.007844	0.221892	70.85	2.279707	0.99467	0.99264	0.979716	0.959002	0.929791	0.892402	0.848621	59.8425	545.420984	7.128875	7.183225	7.248446	7.302797	7.361495	7.683251	3.804772	3.943561	0.990491	20	0	0	0	135013953	130042922	129227427	85354	66981	108825	4776852	1.10045349275985	124.704393546309	204.065708833067	76.179735751658	32786754	0	33320287	9999	9999	9999	9999	XYZ	SEQTHNG	Blood	Fresh	PROJECT_SEQTHNG_External	PROJECT_SEQTHNG	PROJECT_SEQTHNG_0100_Pb_R_PE_1_EX
HILL_1160_TB	S07604715_Regions_sorted	3137161264	65894148	37285536	0.56584	61.832474	61.832474	60.282572	100	97.4934	60282572	100	7676085921	7483701411	4897.738581	1093.843833	1684.503507	2342007903	78.0552	0.219448	0.817437	74.327368	62.812773	57	0.636068	30.4156	30.377062	0.4029	2.5063	0.021148	0.008515	0.228593	72.1053	2.165958	0.992941	0.989486	0.958039	0.888233	0.791025	0.683172	0.574077	16.5261	455.113774	6.984819	7.045113	7.105406	7.185797	7.25011	7.61991	3.714113	3.956987	0.984337	18	0	0	0	62608689	60270564	59893291	111449	98121	57243	2169433	1.0818281263463	124.57005391554	202.548930374701	75.1535176818496	16831815	0	15891876	93.9	0.22	3.6	0.223609852728938	XYZ	SEQTHNG	Tumour	Fresh	PROJECT_SEQTHNG_External	PROJECT_SEQTHNG	PROJECT_SEQTHNG_0100_Bn_P_PE_1_EX
HILL_1348_TB	S07604715_Regions_sorted	3137161264	65894148	37285536	0.56584	125.464951	125.464951	115.775893	100	92.2775	115775893	100	15596943735	14392517959	10262.343879	2337.013116	2997.58674	4690405084	80.7809	0.192191	0.814513	155.739837	125.796906	108	0.656213	29.9922	31.325431	0.3306	7.7222	0.019359	0.007596	0.205234	69.4202	2.329572	0.994396	0.992308	0.979301	0.956429	0.922847	0.878857	0.827238	54.591	288.93912	7.257604	7.370571	7.490384	7.606773	7.742333	8.48175	3.412142	4.530555	0.990213	20	0	0	0	127104990	122480561	121858795	86066	64004	107662	4430701	1.13928243728288	124.647000784067	208.988800495582	80.4796893236311	32333301	0	31909878	97.5	9999	9999	9999	XYZ	SEQTHNG	Tumour	Fresh	PROJECT_SEQTHNG_External	PROJECT_SEQTHNG	PROJECT_SEQTHNG_0032_Bn_P_PE_1_EX
HILL_1410_Blood	S07604715_Regions_sorted	3137161264	65894148	37285536	0.56584	133.906584	133.906584	124.675712	100	93.1065	124675712	100	16694867055	15544240122	12069.945309	2702.881023	1922.040723	5452293993	88.4872	0.115128	0.817037	183.171733	146.230806	130	0.72081	32.5608	34.420116	0.3501	6.8921	0.017633	0.014477	0.202975	70.5976	2.215618	0.993764	0.991123	0.976751	0.957251	0.933467	0.904371	0.869561	63.9851	398.401367	6.380669	6.446332	6.519291	6.599545	6.673963	7.08545	2.004099	9.488959	0.989053	20	0	0	0	135409608	130939555	130220148	243094	223139	84950	4142009	1.11464330126677	125.038657340786	207.344916679407	71.7400948338482	41097056	0	44549505	9999	9999	9999	9999	XYZ	SEQTHNG	Blood	Fresh	PROJECT_SEQTHNG_External	PROJECT_SEQTHNG	PROJECT_SEQTHNG_0083_Pb_R_PE_1_EX
HILL_1410_Tumor	S07604715_Regions_sorted	3137161264	65894148	37285536	0.56584	70.910776	70.910776	68.766198	100	96.9757	68766198	100	8838739086	8571348255	6443.962148	1419.524107	975.252831	3048492755	88.9662	0.110338	0.819479	97.792632	81.760733	72	0.727008	34.3931	34.709844	0.4434	3.0252	0.017916	0.013143	0.214957	73.217	2.271131	0.991854	0.988058	0.961072	0.915165	0.85167	0.773554	0.688143	31.8186	501.824922	6.437415	6.495222	6.556882	6.610835	6.670953	6.99467	2.181133	9.231519	0.983963	18	0	0	0	71762485	69343510	68920078	188753	174877	46575	2183647	1.07157626609863	124.995604851846	206.610434275721	72.1198149476888	19987968	0	22015994	95	0.1	6.1	0.153246345248614	XYZ	SEQTHNG	Tumour	Fresh	PROJECT_SEQTHNG_External	PROJECT_SEQTHNG	PROJECT_SEQTHNG_0083_Bn_P_PE_1_EX
HILL_1632_Blood	S07604715_Regions_sorted	3137161264	65894148	37285536	0.56584	118.242927	118.242927	111.388486	100	94.2031	111388486	100	14497471225	13666453368	10587.175591	2220.650913	1689.644721	4672172418	88.3452	0.116548	0.826618	160.669436	125.307905	107	0.716639	31.6256	34.767852	0.4017	5.7322	0.018436	0.022076	0.217172	70.2417	2.409767	0.992966	0.990235	0.972453	0.944791	0.90888	0.864753	0.813874	53.8599	416.914009	7.127518	7.213181	7.29567	7.384505	7.483492	7.986044	2.115665	10.620985	0.987326	19	0	0	0	119461851	115511687	114768545	64710	53519	98299	3787155	1.08784749314633	124.939639839214	201.417475896511	72.1662402032827	262284022	0	64206142	9999	9999	9999	9999	XYZ	SEQTHNG	Blood	Fresh	PROJECT_SEQTHNG_External	PROJECT_SEQTHNG	PROJECT_SEQTHNG_0101_Pb_R_PE_1_EX
