samples	total_reads	pct_uniq_reads	reads_start_point	pf_bases	pct_pf_bases	pct_coding	pct_utr	pct_intronic	pct_intergenic	pct_correct_rs	pct_mrna	pct_usable	med_cv_cov	X5to3_bias	rrna_contam	centre	proj_name	sample_type	tissue_type	rin	dv200	run	miso_id	proj_id
EPT0993	173.648742	99.9	2.8	1371.4707626	81.2	18.2775	17.515	43.8556	20.352	97.6795	35.7924	29.0863	0.572747	0.719269	7	XYZ	WIZARD	Tumour	Fresh	9999	9999	181123_NB551056_0068_AHWV52BGX7	PROJECT_WIZARD_0028_Bn_P_PE_292_WT	PROJECT_WIZARD
EPT2049	164.279872	99.9	3.286	1297.6530204	84.6	33.8296	22.4108	22.794	20.9656	99.401	56.2404	47.6169	0.475142	0.567712	2	XYZ	WIZARD	Tumour	Fresh	9999	9999	181123_NB551056_0068_AHWV52BGX7	PROJECT_WIZARD_0078_Bn_P_PE_329_WT	PROJECT_WIZARD
EPT2050	163.659754	99.9	2.837	1292.7623358	85.3	25.9975	20.617	34.4045	18.981	99.1916	46.6145	39.7627	0.477471	0.571064	3.5	XYZ	WIZARD	Tumour	Fresh	9999	9999	181123_NB551056_0068_AHWV52BGX7	PROJECT_WIZARD_0079_Bn_P_PE_326_WT	PROJECT_WIZARD
EPT2053	166.949031	99.9	2.321	1318.8498896	84.8	23.1638	16.6876	25.4105	34.738	98.3974	39.8515	33.8202	0.485968	0.368217	0.7	XYZ	WIZARD	Tumour	Fresh	9999	9999	181123_NB551056_0068_AHWV52BGX7	PROJECT_WIZARD_0080_Bn_P_PE_384_WT	PROJECT_WIZARD
EPT2062	146.069082	99.8	3.991	1152.6494605	83.6	16.669	26.8459	30.5881	25.8969	98.6124	43.5149	36.3826	0.563149	0.67642	16.5	XYZ	WIZARD	Tumour	Fresh	9999	9999	181123_NB551056_0068_AHWV52BGX7	PROJECT_WIZARD_0082_Bn_P_PE_351_WT	PROJECT_WIZARD
EPT2044	160.250157	99.9	2.642	1265.8620063	82.7	20.9164	18.1675	42.31	18.6062	99.0461	39.0839	32.3322	0.493151	0.503015	3.5	XYZ	WIZARD	Tumour	Fresh	9999	9999	181123_NB551051_0081_AHWV5JBGX7	PROJECT_WIZARD_0073_Bn_P_PE_330_WT	PROJECT_WIZARD
EPT2045	157.192803	99.9	4.19	1241.4653606	83.9	12.3809	23.2991	30.253	34.067	98.8742	35.68	29.939	0.497801	0.414925	10.7	XYZ	WIZARD	Tumour	Fresh	9999	9999	181123_NB551051_0081_AHWV5JBGX7	PROJECT_WIZARD_0074_Bn_P_PE_374_WT	PROJECT_WIZARD
EPT2046	139.667795	99.9	2.733	1103.2697995	82.2	24.5564	19.099	37.4012	18.9434	99.2521	43.6554	35.8974	0.49749	0.509468	3.1	XYZ	WIZARD	Tumour	Fresh	9999	9999	181123_NB551051_0081_AHWV5JBGX7	PROJECT_WIZARD_0075_Bn_P_PE_326_WT	PROJECT_WIZARD
EPT2047	153.85046	99.9	2.52	1215.3226411	85.8	25.1728	18.2396	40.1623	16.4252	99.2247	43.4125	37.269	0.484919	0.521658	2.5	XYZ	WIZARD	Tumour	Fresh	9999	9999	181123_NB551051_0081_AHWV5JBGX7	PROJECT_WIZARD_0076_Bn_P_PE_321_WT	PROJECT_WIZARD
EPT2048	124.731608	99.9	2.594	985.271173	83	28.1215	21.0622	32.6336	18.1827	99.3719	49.1837	40.8586	0.491986	0.515693	2.7	XYZ	WIZARD	Tumour	Fresh	9999	9999	181123_NB551051_0081_AHWV5JBGX7	PROJECT_WIZARD_0077_Bn_P_PE_311_WT	PROJECT_WIZARD
EPT2020	151.110693	99.9	3.175	1193.6918328	87	34.1079	22.0881	21.784	22.02	99.2932	56.1959	48.9005	0.461627	0.599425	1.8	XYZ	WIZARD	Tumour	Fresh	9999	9999	181122_NB551056_0067_AHWG3WBGX7	PROJECT_WIZARD_0068_Bn_P_PE_322_WT	PROJECT_WIZARD
EPT2021	146.098294	99.9	2.835	1154.1225024	85.3	33.2705	21.1336	26.8178	18.7782	99.2861	54.404	46.4319	0.458059	0.559667	1.2	XYZ	WIZARD	Tumour	Fresh	9999	9999	181122_NB551056_0067_AHWG3WBGX7	PROJECT_WIZARD_0069_Bn_P_PE_322_WT	PROJECT_WIZARD
EPT2025	174.939396	99.9	3.101	1381.937362	86.4	33.5949	21.7629	26.2383	18.4039	99.3775	55.3578	47.883	0.468518	0.548018	1.3	XYZ	WIZARD	Tumour	Fresh	9999	9999	181122_NB551056_0067_AHWG3WBGX7	PROJECT_WIZARD_0070_Bn_P_PE_350_WT	PROJECT_WIZARD
