samples	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE	GENOME_TERRITORY	MEAN_COVERAGE	SD_COVERAGE	MEDIAN_COVERAGE	MAD_COVERAGE	PCT_EXC_MAPQ	PCT_EXC_DUPE	PCT_EXC_UNPAIRED	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_CAPPED	PCT_EXC_TOTAL	PCT_1X	PCT_5X	PCT_10X	PCT_15X	PCT_20X	PCT_25X	PCT_30X	PCT_40X	PCT_50X	PCT_60X	PCT_70X	PCT_80X	PCT_90X	PCT_100X	HET_SNP_SENSITIVITY	HET_SNP_Q	MEDIAN_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_99_PERCENT	BAMQC_TOTALREADS	BAMQC_PAIREDREADS	BAMQC_PROPPAIREDREADS	BAMQC_UNMAPREADS	BAMQC_MATEUNMAPREADS	BAMQC_SECONDARYREADS	BAMQC_QUALFAILREADS	BAMQC_READSPERSTARTPOINT	BAMQC_AVGREADLENGTH	BAMQC_INSERTMEAN	BAMQC_INSERTSD	BAMQC_SOFTCLIPBASES	BAMQC_HARDCLIPBASES	BAMQC_MISMATCHBASES	Gender	Tumor_Fraction	Ploidy	Subclone_Fraction	Fraction_Genome_Subclonal	Fraction_CNA_Subclonal	ChrY_coverage_fraction	ChrX_median_log_ratio	centre	proj_name	sample_type	tissue_type	run	proj_id	miso_id
Chro8-002-T	26408	2477085	98372	37636	18159	34764	223	0.017606	87977711	2897310462	0.076628	0.563091	0	0	0.154449	0.01118	0.001235	0.039857	0.160383	0.00702	0.374124	0.070974	7.1e-05	4.5e-05	3.4e-05	2.7e-05	2.2e-05	1.8e-05	1.2e-05	1e-05	8e-06	7e-06	6e-06	6e-06	5e-06	0.006085	0	111	27	2	245936334	118.509413	45.022397	2222755	FR	11	21	33	43	55	69	85	105	145	351	5116586	4025168	3758709	37636	6164	98372	955410	1.05553648530101	74.9972609838894	124.644771413558	65.8669093353344	11299288	0	1494493	female	0.3311	1.994	0.3655	0.3948	0.6952	0.0003115	-0.1926	XYZ	chromosome8	Tumour	FFPE	190425_NB551056_0075_AHHLWLAFXY	PROJECT_DOTDOTDOT	PROJECT_DOTDOTDOT_0001_Ov_P_PE_304_WG
Chro8-003-T	26978	2554934	24782	39986	18643	25912	323	0.013718	126663493	2897310462	0.095583	0.514283	0	0	0.081681	0.008645	0.001313	0.033441	0.129252	0.005298	0.259631	0.088422	5.3e-05	3.3e-05	2.4e-05	1.9e-05	1.5e-05	1.3e-05	8e-06	6e-06	5e-06	4e-06	4e-06	3e-06	3e-06	0.005898	0	137	42	2	222154350	149.777566	68.255407	2463080	FR	17	33	49	67	85	103	125	155	217	463	5201614	4605248	4514107	39986	7113	24782	531598	1.03985419790667	74.9894468224078	151.008	74.7800622744978	8338330	0	1306305	female	0.6937	2.209	0.7842	0.458	0.539	0.0001407	-0.7743	XYZ	chromosome8	Tumour	FFPE	190425_NB551056_0075_AHHLWLAFXY	PROJECT_DOTDOTDOT	PROJECT_DOTDOTDOT_0002_Pm_P_PE_360_WG
Chro8-004-T	27303	2064343	70295	36931	19987	26471	185	0.017548	80356437	2897310462	0.066054	0.505774	0	0	0.128964	0.010859	0.001352	0.034005	0.175854	0.005789	0.356823	0.061713	5.4e-05	3.3e-05	2.4e-05	1.9e-05	1.6e-05	1.3e-05	9e-06	7e-06	6e-06	5e-06	5e-06	4e-06	4e-06	0.00543	0	110	27	2	242939571	117.66672	44.743958	1907492	FR	11	21	31	43	55	67	83	105	143	331	4263215	3490714	3317647	36931	5834	70295	665275	1.05908197258469	74.9951227743092	120.890853658537	62.2978852105775	9470461	0	1083082	female	0.7096	1.931	0.7159	0.3647	0.5594	0.0002405	-0.02921	XYZ	chromosome8	Tumour	FFPE	190425_NB551056_0075_AHHLWLAFXY	PROJECT_DOTDOTDOT	PROJECT_DOTDOTDOT_0003_Fa_P_PE_309_WG
Chro8-005-T	19974	2214098	28511	30478	12469	18986	209	0.01134	129774503	2897310462	0.083512	0.483315	0	0	0.095401	0.007721	0.001315	0.033237	0.110722	0.004528	0.252924	0.077995	5.9e-05	3.8e-05	2.8e-05	2.1e-05	1.7e-05	1.4e-05	1e-05	7e-06	5e-06	4e-06	4e-06	3e-06	3e-06	0.004324	0	146	46	2	228698441	159.637237	73.949002	2113897	FR	19	37	55	73	93	115	137	169	235	497	4507159	3914473	3809569	30478	6517	28511	533697	1.03373275394221	74.9892131073583	162.137506413545	78.2075593782998	5824819	0	1100099	female	0.8381	1.902	0.1844	0.1288	0.3291	0.0002263	-0.06566	XYZ	chromosome8	Tumour	FFPE	190425_NB551056_0075_AHHLWLAFXY	PROJECT_DOTDOTDOT	PROJECT_DOTDOTDOT_0004_Om_P_PE_368_WG
Chro8-006-T	26264	2316941	59256	39636	19389	25627	240	0.015159	104932093	2897310462	0.077021	0.508855	0	0	0.121642	0.009158	0.00112	0.032646	0.159947	0.005704	0.330217	0.071881	6.4e-05	3.9e-05	2.8e-05	2.1e-05	1.6e-05	1.3e-05	9e-06	8e-06	6e-06	5e-06	5e-06	4e-06	3e-06	0.005718	0	117	33	2	236296261	126.334526	53.778605	2163112	FR	13	25	39	53	67	81	101	125	171	393	4759038	3951891	3783962	39636	5520	59256	708255	1.05863847052486	74.9820845261167	132.888133821223	74.4612785090139	10879869	0	1250249	female	0.3722	2.654	0.4485	0.1696	0.2273	0.0002185	-0.6725	XYZ	chromosome8	Tumour	FFPE	190425_NB551056_0075_AHHLWLAFXY	PROJECT_DOTDOTDOT	PROJECT_DOTDOTDOT_0005_Ov_P_PE_328_WG
Chro8-007-T	29094	2351560	50246	41254	20957	21897	272	0.013683	127042897	2897310462	0.083123	0.493259	0	0	0.110014	0.008041	0.00135	0.032018	0.138469	0.003411	0.293303	0.077508	5.7e-05	3.8e-05	3e-05	2.5e-05	2.1e-05	1.7e-05	1e-05	7e-06	5e-06	4e-06	4e-06	3e-06	3e-06	0.005339	0	128	38	2	234712513	139.483817	62.840266	2215549	FR	15	31	45	61	77	95	117	143	199	439	4823714	4085762	3924585	41254	6612	50246	646452	1.04707178191756	74.9874992718617	142.741482965932	77.6480827329911	9189180	0	1220219	female	0.662	2.704	0.8746	0.35	0.4776	0.0002616	0.02587	XYZ	chromosome8	Tumour	FFPE	190425_NB551056_0075_AHHLWLAFXY	PROJECT_DOTDOTDOT	PROJECT_DOTDOTDOT_0006_Pm_P_PE_352_WG
Chro8-009-T	40955	1797421	105892	47315	27760	18740	163	0.017944	86339003	2897310462	0.060852	0.429396	0	0	0.147342	0.009267	0.002821	0.044579	0.108759	0.00396	0.316728	0.056925	4.9e-05	3e-05	2.2e-05	1.6e-05	1.2e-05	1e-05	7e-06	5e-06	4e-06	3e-06	3e-06	3e-06	2e-06	0.003329	0	129	37	2	242551147	139.632104	60.98034	1546267	FR	15	29	45	59	75	93	113	141	197	477	3789004	2978569	2632954	47315	10426	105892	657228	1.03868123100357	74.9850431532726	143.290104947526	80.9403260362198	9886877	0	1298297	female	0.7623	1.777	0.4988	0.1962	0.3382	0.0002248	-0.05751	XYZ	chromosome8	Tumour	FFPE	190425_NB551056_0075_AHHLWLAFXY	PROJECT_DOTDOTDOT	PROJECT_DOTDOTDOT_0008_Ov_P_PE_334_WG
Chro8-010-T	22779	2362719	12110	35363	15205	19837	277	0.011558	141878406	2897310462	0.093228	0.468908	0	0	0.076037	0.00762	0.001278	0.033874	0.102326	0.002123	0.223258	0.08713	5.4e-05	3.5e-05	2.6e-05	1.9e-05	1.4e-05	1e-05	7e-06	6e-06	5e-06	4e-06	3e-06	3e-06	2e-06	0.004531	0	156	51	2	223400930	171.238311	81.11004	2306180	FR	21	41	61	81	103	127	153	187	259	527	4795690	4293692	4249149	35363	6088	12110	454525	1.03098483666099	74.9929606036017	170.221418234443	80.1002970203295	5397392	0	1064063	female	0.5041	1.871	0.6893	0.33	0.5555	0.0001946	-0.126	XYZ	chromosome8	Tumour	FFPE	190425_NB551056_0075_AHHLWLAFXY	PROJECT_DOTDOTDOT	PROJECT_DOTDOTDOT_0009_Co_P_PE_375_WG
Chro8-012-T	25127	2161525	42019	36337	17904	19926	252	0.013283	117991016	2897310462	0.078412	0.491834	0	0	0.105341	0.00804	0.001272	0.033269	0.124135	0.005189	0.277247	0.073449	6e-05	3.6e-05	2.4e-05	1.7e-05	1.3e-05	1.1e-05	8e-06	7e-06	5e-06	4e-06	4e-06	4e-06	3e-06	0.00447	0	136	42	2	237364010	148.298682	68.019865	2040096	FR	17	33	49	67	85	103	125	155	217	477	4426533	3771805	3628975	36337	5941	42019	576372	1.04077931158739	74.9992642779783	153.362987369577	87.9661180634607	7475468	0	1134133	female	0.5663	1.713	0.2539	0.1079	0.1865	0.0002707	-0.452	XYZ	chromosome8	Tumour	FFPE	190425_NB551056_0075_AHHLWLAFXY	PROJECT_DOTDOTDOT	PROJECT_DOTDOTDOT_0010_Ov_P_PE_344_WG
Chro8-013-T	26935	2235159	74652	38399	19202	21127	213	0.013665	118671073	2897310462	0.073433	0.50997	0	0	0.142794	0.008238	0.001262	0.037799	0.140934	0.005821	0.336849	0.067981	5.8e-05	3.8e-05	2.9e-05	2.3e-05	1.9e-05	1.5e-05	1e-05	8e-06	6e-06	6e-06	5e-06	4e-06	4e-06	0.005095	0	121	36	2	243827979	131.639506	58.719705	2039392	FR	15	29	43	57	73	89	109	135	187	439	4610304	3710135	3471087	38399	6142	74652	787118	1.05394617569129	74.9913278088264	139.942296918768	85.1702103882649	11032021	0	1287286	female	0.8295	1.731	0.3377	0.05166	0.08407	0.0002031	-0.4666	XYZ	chromosome8	Tumour	FFPE	190425_NB551056_0075_AHHLWLAFXY	PROJECT_DOTDOTDOT	PROJECT_DOTDOTDOT_0011_Cs_P_PE_347_WG
