samples	genome	regions.CG	regions.C	regions.G	regions.relH	regions.GoGe	genome.C	genome.G	genome.CG	genome.relH	genome.GoGe	enrichment.score.relH	enrichment.score.GoGe	numberReadsCG	numberReadsWOCG	count0	count1	count10	count50	count100	maxEstCorReads	maxEstCor	maxTruCorReads	maxTruCor	LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE	ACCUMULATION_LEVEL	WINDOW_SIZE	TOTAL_CLUSTERS	ALIGNED_READS	AT_DROPOUT	GC_DROPOUT	GC_NC_0_19	GC_NC_20_39	GC_NC_40_59	GC_NC_60_79	GC_NC_80_100	SAMPLE	LIBRARY.1	READ_GROUP	CATEGORY	TOTAL_READS	PF_READS	PCT_PF_READS	PF_NOISE_READS	PF_READS_ALIGNED	PCT_PF_READS_ALIGNED	PF_ALIGNED_BASES	PF_HQ_ALIGNED_READS	PF_HQ_ALIGNED_BASES	PF_HQ_ALIGNED_Q20_BASES	PF_HQ_MEDIAN_MISMATCHES	PF_MISMATCH_RATE	PF_HQ_ERROR_RATE	PF_INDEL_RATE	MEAN_READ_LENGTH	READS_ALIGNED_IN_PAIRS	PCT_READS_ALIGNED_IN_PAIRS	BAD_CYCLES	STRAND_BALANCE	PCT_CHIMERAS	PCT_ADAPTER	SAMPLE.1	LIBRARY.2	READ_GROUP.1	total	unmap	methyl	unmeth	PCT_THALIANA	THALIANA_BETA	runid	project	miso_id	centre	sample_type	tissue_type
PROJECT_FARSCAPE_4934_INPUT	BSgenome.Hsapiens.UCSC.hg19	4019	64053	71464	1.3966694	0.252647845	591650798	592024269	28617896	0.914003014	0.255813117	1.528079644	0.987626623	956	105	30954281	2504	5	0	0	956	0.665808964	478	0.422098066	Unknown Library	206	2597	0	95738	6	0	0	0.001111	NA	All Reads	100	50569	5400	7.937667	5.405601	0.557707	0.928229	1.121128	0.463479	8.030254	NA	NA	NA	FIRST_OF_PAIR	50569	50569	1	0	2713	0.053649	390866	2106	306719	299567	0	0.013709	0.004914	0.00319	146	2597	0.957243	0	0.498341	0.162906	0.005082	NA	NA	NA	101138	95532	2200	2208	4.3	0.499	190826_M00753_0151_000000000-D4F7Y	PROJECT_ZED	PROJECT_ZED_0010_Cf_U_PE_321_CM	XYZ	Blood	Medip
PROJECT_FARSCAPE_5919	BSgenome.Hsapiens.UCSC.hg19	304412	2990956	3007352	2.594631711	0.397057613	591650798	592024269	28617896	0.914003014	0.255813117	2.838756186	1.552139381	38978	182	30855779	101006	136	10	2	38978	0.653002801	19489	0.410282812	Unknown Library	1036	22331	0	17470	21	5	1	0.000678	62321168	All Reads	100	31584	45698	44.6017	0.187948	0.035941	0.250449	1.330707	5.52927	0.231404	NA	NA	NA	FIRST_OF_PAIR	31584	31584	1	0	23018	0.728787	3350714	19264	2809992	2713448	0	0.009136	0.004473	0.000995	146	22331	0.970154	0	0.499261	0.071032	0	NA	NA	NA	63168	16434	1940	32	3.1	0.983	190826_M00753_0151_000000000-D4F7Y	PROJECT_ZED	PROJECT_ZED_0004_Cf_U_PE_317_CM	XYZ	Blood	Medip
PROJECT_FARSCAPE_5932	BSgenome.Hsapiens.UCSC.hg19	242279	2473125	2484069	2.431102181	0.393023582	591650798	592024269	28617896	0.914003014	0.255813117	2.659840442	1.536369935	33109	211	30872914	83871	166	13	7	33109	0.761063793	16554	0.571587371	Unknown Library	580	19611	0	18574	18	13	1	0.001105	16016466	All Reads	100	29188	39802	39.135756	0.197072	0.010317	0.33151	1.36631	4.354826	0.371976	NA	NA	NA	FIRST_OF_PAIR	29188	29188	1	0	19951	0.683534	2901461	16316	2379670	2298276	0	0.010381	0.004682	0.001239	146	19611	0.982958	0	0.504135	0.079334	0	NA	NA	NA	58376	17994	1802	24	3.1	0.986	190826_M00753_0151_000000000-D4F7Y	PROJECT_ZED	PROJECT_ZED_0007_Cf_U_PE_323_CM	XYZ	Blood	Medip
PROJECT_FARSCAPE_5919_INPUT	BSgenome.Hsapiens.UCSC.hg19	144572	2332808	2342989	1.374619066	0.27818696	591650798	592024269	28617896	0.914003014	0.255813117	1.503954631	1.087461674	34941	4383	30863969	92816	54	3	0	34941	0.576739226	17470	0.300251987	Unknown Library	948	19992	0	17494	14	2	2	0.00044	NA	All Reads	100	29213	40932	13.326575	0.002823	0.190603	0.751097	1.146877	2.156881	3.616971	NA	NA	NA	FIRST_OF_PAIR	29213	29213	1	0	20633	0.706295	3002043	17973	2621287	2547640	0	0.007819	0.004008	0.001093	146	19992	0.968933	0	0.506131	0.08233	0.001575	NA	NA	NA	58426	16546	736	770	2.5	0.488	190826_M00753_0151_000000000-D4F7Y	PROJECT_ZED	PROJECT_ZED_0004_Cf_U_PE_319_CM	XYZ	Blood	Medip
PROJECT_FARSCAPE_5786	BSgenome.Hsapiens.UCSC.hg19	304544	2977603	2989484	2.574881881	0.404650198	591650798	592024269	28617896	0.914003014	0.255813117	2.817148129	1.581819583	39294	162	30855979	100806	192	22	9	39294	0.75320581	19647	0.565186007	Unknown Library	1405	22546	0	17239	49	6	2	0.001312	63521477	All Reads	100	31868	46497	42.534048	0.20188	0.017662	0.294387	1.35054	4.8906	0.181942	NA	NA	NA	FIRST_OF_PAIR	31868	31868	1	0	23558	0.739237	3427342	19099	2785801	2692177	0	0.01037	0.004674	0.001145	146	22546	0.957042	0	0.502886	0.081225	0	NA	NA	NA	63736	15834	1438	12	2.2	0.991	190826_M00753_0151_000000000-D4F7Y	PROJECT_ZED	PROJECT_ZED_0012_Cf_U_PE_311_CM	XYZ	Blood	Medip
PROJECT_FARSCAPE_5932_INPUT	BSgenome.Hsapiens.UCSC.hg19	116989	2214378	2224305	1.125138299	0.246966504	591650798	592024269	28617896	0.914003014	0.255813117	1.231000644	0.965417671	34544	4943	30866561	90224	52	3	0	34544	0.587416868	17272	0.312590097	Unknown Library	507	20097	0	19053	15	2	2	0.000467	NA	All Reads	100	29877	40701	7.920186	0.00941	0.272401	0.851216	1.126513	1.369348	1.481019	NA	NA	NA	FIRST_OF_PAIR	29877	29877	1	0	20409	0.683101	2967222	17644	2573183	2505539	0	0.008009	0.003976	0.001238	146	20097	0.984713	0	0.500808	0.078399	0.000971	NA	NA	NA	59754	18546	620	606	2	0.505	190826_M00753_0151_000000000-D4F7Y	PROJECT_ZED	PROJECT_ZED_0007_Cf_U_PE_314_CM	XYZ	Blood	Medip
PROJECT_FARSCAPE_5930	BSgenome.Hsapiens.UCSC.hg19	299101	2809099	2799379	2.748723493	0.41388142	591650798	592024269	28617896	0.914003014	0.255813117	3.007346202	1.617905386	36151	182	30861706	95079	121	9	3	36151	0.658482146	18075	0.431018057	Unknown Library	1565	20600	0	13969	32	3	3	0.000889	NA	All Reads	100	28367	42765	45.919985	0.157657	0.012802	0.250899	1.302029	5.80869	0.346177	NA	NA	NA	FIRST_OF_PAIR	28367	28367	1	0	21736	0.766242	3163520	17584	2564780	2470174	0	0.010415	0.005079	0.001112	146	20600	0.947736	0	0.499908	0.092782	0.000106	NA	NA	NA	56734	12404	1088	10	1.9	0.99	190826_M00753_0151_000000000-D4F7Y	PROJECT_ZED	PROJECT_ZED_0006_Cf_U_PE_314_CM	XYZ	Blood	Medip
PROJECT_FARSCAPE_4042_99374-1	BSgenome.Hsapiens.UCSC.hg19	248295	2539091	2553361	2.352086716	0.404289193	591650798	592024269	28617896	0.914003014	0.255813117	2.573390547	1.580408377	35071	264	30869332	87453	181	28	9	35071	0.784264119	17535	0.611028876	Unknown Library	491	19580	0	8353	18	6	1	0.000757	38327197	All Reads	100	24002	39651	31.84645	0.218076	0.120824	0.441833	1.332105	3.557444	0.133358	NA	NA	NA	FIRST_OF_PAIR	24002	24002	1	0	19835	0.826389	2890324	16569	2417341	2330387	0	0.009049	0.004213	0.00079	146	19580	0.987144	0	0.497504	0.044382	4.20E-05	NA	NA	NA	48004	7862	892	14	1.8	0.984	190826_M00753_0151_000000000-D4F7Y	PROJECT_ZED	PROJECT_ZED_0064_Cf_U_PE_318_CM	XYZ	Blood	Medip
PROJECT_FARSCAPE_5739	BSgenome.Hsapiens.UCSC.hg19	323376	3149621	3163333	2.627130803	0.399512768	591650798	592024269	28617896	0.914003014	0.255813117	2.874313062	1.561736837	40894	138	30852338	104447	147	12	6	40894	0.709350812	20447	0.487554769	Unknown Library	724	23093	0	13086	21	7	1	0.000746	44429007	All Reads	100	29998	46910	46.937074	0.207113	0.017507	0.225767	1.364203	5.454452	0.157804	NA	NA	NA	FIRST_OF_PAIR	29998	29998	1	0	23527	0.784286	3424981	19656	2867367	2768263	0	0.009076	0.004381	0.000966	146	23093	0.981553	0	0.499426	0.063673	0	NA	NA	NA	59996	12362	1105	10	1.8	0.991	190826_M00753_0151_000000000-D4F7Y	PROJECT_ZED	PROJECT_ZED_0011_Cf_U_PE_321_CM	XYZ	Blood	Medip
PROJECT_FARSCAPE_5911	BSgenome.Hsapiens.UCSC.hg19	285661	2949115	2957074	2.391552723	0.391262336	591650798	592024269	28617896	0.914003014	0.255813117	2.616569843	1.529485044	39683	220	30855499	101286	204	14	6	39683	0.711144738	19841	0.499411307	Unknown Library	655	22551	0	10053	22	4	3	0.000656	254198636	All Reads	100	27905	45757	39.039713	0.201177	0.029912	0.319286	1.385592	4.292578	0.046221	NA	NA	NA	FIRST_OF_PAIR	27905	27905	1	0	22939	0.822039	3339335	19011	2773080	2678819	0	0.009591	0.004558	0.001046	146	22551	0.983086	0	0.504686	0.071162	0	NA	NA	NA	55810	9398	915	14	1.6	0.984	190826_M00753_0151_000000000-D4F7Y	PROJECT_ZED	PROJECT_ZED_0001_Cf_U_PE_309_CM	XYZ	Blood	Medip
