samples	BAMQC_TOTALREADS	BAMQC_PAIREDREADS	BAMQC_PROPPAIREDREADS	BAMQC_UNMAPREADS	BAMQC_MATEUNMAPREADS	BAMQC_SECONDARYREADS	BAMQC_QUALFAILREADS	BAMQC_READSONTARGET	BAMQC_READSPERSTARTPOINT	BAMQC_AVGREADLENGTH	BAMQC_INSERTMEAN	BAMQC_INSERTSD	BAMQC_SOFTCLIPBASES	BAMQC_HARDCLIPBASES	BAMQC_MISMATCHBASES	run	project	groupID
PROJECT_SEQTHNG_0058_Bn_P_PE_524_EX	0.047869	94.0044705341662	93.1981031565314	0.183835049823477	69	0.28201967870647	2647	73.1893292109716	1.06177442189712	141.81148469966	287.666666666667	137.902139214734	0	0	7007	181206_M00753_0074_000000000-D5KLC	PROJECT_SEQTHNG	1994_TS
PROJECT_SEQTHNG_0059_Bn_P_PE_528_EX	0.04706	94.2753931151721	93.8567785805355	0.118997025074373	45	0.246493837654059	2522	65.939226519337	1.06726166133416	147.241716629852	261.526315789474	102.385426810991	0	0	9009	181206_M00753_0074_000000000-D5KLC	PROJECT_SEQTHNG	2135_TS
PROJECT_SEQTHNG_0060_Bn_P_PE_518_EX	0.046831	94.3990092033055	93.784031944652	0.0960901966646025	41	0.313894642437702	2431	68.3991373235677	1.06648814262623	147.813246471227	360.84	183.78045162639	33033	0	9009	181206_M00753_0074_000000000-D5KLC	PROJECT_SEQTHNG	2137_TS
PROJECT_SEQTHNG_0061_Bn_P_PE_515_EX	0.046521	93.8844822768212	92.844091915479	0.206358418778616	80	0.505148212635154	2514	71.0066421616044	1.06247111197605	147.757280886528	274.045454545455	114.442711858469	112112	0	23023	181206_M00753_0074_000000000-D5KLC	PROJECT_SEQTHNG	2171_TS
PROJECT_SEQTHNG_0063_Bn_P_PE_506_EX	0.046381	93.9544209913542	92.9626355619758	0.120739095750415	52	0.881826610034281	2339	64.7463400961601	1.04604157664795	147.220070220529	298.789473684211	101.797310970259	0	0	14014	181206_M00753_0074_000000000-D5KLC	PROJECT_SEQTHNG	2912_TS
PROJECT_SEQTHNG_0064_Bn_P_PE_478_EX	0.046067	94.2084355395402	93.4465018342848	0.112879067445243	42	0.336466451038704	2461	73.8793496429114	1.06626372816393	147.362588999747	292.730769230769	111.579760258787	0	0	9009	181206_M00753_0074_000000000-D5KLC	PROJECT_SEQTHNG	3012_TS
PROJECT_SEQTHNG_0065_Bn_P_PE_514_EX	0.048516	94.6965949377525	94.2719927446616	0.0968752576469618	37	0.305054002803199	2378	66.0235798499464	1.05550705325553	146.741288117885	292.904761904762	92.5222777610137	0	0	7007	181206_M00753_0074_000000000-D5KLC	PROJECT_SEQTHNG	3051_TS
PROJECT_SEQTHNG_0068_Bn_P_PE_539_EX	0.045376	94.3824929478138	94.0012341325811	0.121209449929478	47	0.211565585331453	2398	63.9743476727786	1.06662349630145	146.479253741798	326.473684210526	124.478012609732	14014	0	33033	181206_M00753_0074_000000000-D5KLC	PROJECT_SEQTHNG	3436_TS
PROJECT_SEQTHNG_0069_Bn_P_PE_538_EX	0.050229	94.1249079217185	93.3743454976209	0.1732067132533	72	0.543510720898286	2591	71.7434151585737	1.04994669983122	148.610749185668	280.5	120.820034635117	0	0	24024	181206_M00753_0074_000000000-D5KLC	PROJECT_SEQTHNG	3790_TS
PROJECT_SEQTHNG_0070_Bn_P_PE_519_EX	0.041149	94.5320663928649	93.8491822401516	0.114219057571265	42	0.157962526428346	2138	87.5744246518749	1.0609606415187	146.165197048767	306.526315789474	101.640423175372	0	0	20020	181206_M00753_0074_000000000-D5KLC	PROJECT_SEQTHNG	3832_TS
PROJECT_SEQTHNG_0071_Bn_P_PE_527_EX	0.045057	94.5180549082274	93.9987127416384	0.117628781321437	48	0.210844041991256	2322	68.8705417582174	1.05275388114309	145.823936882147	328.739130434783	139.470183003644	194194	0	40040	181206_M00753_0074_000000000-D5KLC	PROJECT_SEQTHNG	3923_TS
PROJECT_SEQTHNG_0072_Bn_P_PE_498_EX	0.049863	93.8270862162325	92.4914265086337	0.116318713274372	43	0.980687082606341	2531	68.2550187513788	1.05688338679799	144.29291439564	291.875	134.907781002431	140140	0	16016	181206_M00753_0074_000000000-D5KLC	PROJECT_SEQTHNG	3993_TS
PROJECT_SEQTHNG_0073_Bn_P_PE_522_EX	0.038537	94.5532864519812	93.741080001038	0.075252354879726	23	0.324363598619509	1945	64.9375924436256	1.05418932993866	148.619847412042	314.411764705882	135.699520491385	183183	0	9009	181206_M00753_0074_000000000-D5KLC	PROJECT_SEQTHNG	4003_TS
PROJECT_SEQTHNG_0074_Bn_P_PE_496_EX	0.045067	94.3905740342157	93.9246011493998	0.0732243104710764	31	0.210797257416735	2400	66.6341225286795	1.06422156063145	146.05907520158	273.545454545455	112.722397255271	45045	0	24024	181206_M00753_0074_000000000-D5KLC	PROJECT_SEQTHNG	4021_TS
PROJECT_SEQTHNG_0075_Bn_P_PE_508_EX	0.043295	94.595218847442	94.0108557570158	0.110867305693498	41	0.279477999769026	2171	67.0493128536783	1.05625048358394	145.744426809913	293	165.929955101543	0	0	7007	181206_M00753_0074_000000000-D5KLC	PROJECT_SEQTHNG	4080_TS
PROJECT_SEQTHNG_0076_Bn_P_PE_521_EX	0.046766	94.1495958602403	93.5850831800881	0.171064448530984	67	0.205277338237181	2560	66.3537612795621	1.0599181511796	143.932114467409	298	150.517836310582	0	0	12012	181206_M00753_0074_000000000-D5KLC	PROJECT_SEQTHNG	4086_TS
PROJECT_SEQTHNG_0076_Pb_R_PE_534_EX	0.038737	94.3310013682009	93.819862147301	0.098097426233317	32	0.183287296383303	2087	67.1864109249555	1.04858380922317	146.666867354479	312.611111111111	127.281900122388	0	0	7007	181206_M00753_0074_000000000-D5KLC	PROJECT_SEQTHNG	4086_BC
PROJECT_SEQTHNG_0077_Bn_P_PE_518_EX	0.040732	94.6430325051557	94.1372876362565	0.127663753314347	45	0.314249238927624	2002	63.8957085338309	1.06219001432823	146.294007782101	265.947368421053	113.373845347436	0	0	5005	181206_M00753_0074_000000000-D5KLC	PROJECT_SEQTHNG	4578_TS
PROJECT_SEQTHNG_0077_Pb_R_PE_523_EX	0.042373	93.9678568900007	93.4297783966205	0.0991197224647771	40	0.280839213650202	2395	70.8706015623156	1.0517487320372	140.909787276791	270.142857142857	144.518670968506	0	0	8008	181206_M00753_0074_000000000-D5KLC	PROJECT_SEQTHNG	4578_BC
PROJECT_SEQTHNG_0078_Pb_R_PE_520_EX	0.039605	94.3466733998233	93.7154399697008	0.118671884863022	41	0.280267642974372	2081	73.2963009720995	1.05111398672218	147.955976020982	307.928571428571	140.627402473809	87087	0	17017	181206_M00753_0074_000000000-D5KLC	PROJECT_SEQTHNG	4614_BC
PROJECT_SEQTHNG_0079_Bn_P_PE_515_EX	0.04203	94.3921008803236	94.0970735189151	0.123721151558411	48	0.190340233166786	2225	64.3040685224839	1.07048030221263	140.689536964686	289.44	165.332411825389	72072	0	25025	181206_M00753_0074_000000000-D5KLC	PROJECT_SEQTHNG	4748_TS
PROJECT_SEQTHNG_0079_Pb_R_PE_520_EX	0.041619	94.2790552391936	93.7672697566016	0.160984165885773	59	0.228261130733559	2219	74.5596962925587	1.05320091262918	149.749477547276	293.952380952381	116.90471341285	0	0	9009	181206_M00753_0074_000000000-D5KLC	PROJECT_SEQTHNG	4748_BC
PROJECT_SEQTHNG_0080_Bn_P_PE_486_EX	0.040932	93.4892016026581	92.4997556923678	0.112381510798397	39	0.571679859278804	2385	85.5931789309098	1.08374872550129	142.824365641414	226.875	141.284674947427	0	0	22022	181206_M00753_0074_000000000-D5KLC	PROJECT_SEQTHNG	4750_TS
PROJECT_SEQTHNG_0080_Pb_R_PE_519_EX	0.043802	94.3701200858408	94.1075749965755	0.077622026391489	30	0.214602072964705	2338	77.6996484178805	1.05419674054425	147.549182310819	298.409090909091	136.511624243941	131131	0	20020	181206_M00753_0074_000000000-D5KLC	PROJECT_SEQTHNG	4750_BC
PROJECT_SEQTHNG_0120_Bn_P_PE_527_EX	0.032166	94.4724242989492	93.626810918361	0.152334763414786	46	0.236274326929056	1653	71.5755766958901	1.05749086479902	148.19991443991	320.133333333333	144.178531303689	0	0	10010	181206_M00753_0074_000000000-D5KLC	PROJECT_SEQTHNG	2368_TS
