samples	total_reads	pct_uniq_reads	reads_start_point	pf_bases	pct_pf_bases	pct_coding	pct_utr	pct_intronic	pct_intergenic	pct_correct_rs	pct_mrna	pct_usable	med_cv_cov	X5to3_bias	rrna_contam	project	groupID	run
PROJECT_WIZARD_0001_Bn_P_PE_324_WT	0.023514	99.9	1.475	0.3550312	84.6	24.5917	16.3039	38.5357	20.5687	98.7291	40.8956	34.6253	1.067277	1.030973	1.2	PROJECT_WIZARD	EPT0068	180810_M00146_0085_000000000-D4HK5
PROJECT_WIZARD_0002_Bn_P_PE_315_WT	0.019347	99.9	1.499	0.2921246	82.7	29.7963	20.2019	31.0689	18.9329	98.7772	49.9982	41.3603	1.024882	0.737263	2.1	PROJECT_WIZARD	EPT0511	180810_M00146_0085_000000000-D4HK5
PROJECT_WIZARD_0003_Bn_P_PE_314_WT	0.014755	99.9	1.573	0.2227854	80.5	37.635	23.5567	19.0156	19.7927	99.2655	61.1917	49.299	1.072982	1.365385	1.8	PROJECT_WIZARD	EPT0518	180810_M00146_0085_000000000-D4HK5
PROJECT_WIZARD_0004_Bn_P_PE_316_WT	0.020112	100	1.506	0.3036912	80.4	25.875	17.8877	37.7657	18.4717	98.8965	43.7626	35.1861	1.085239	2.545455	1.5	PROJECT_WIZARD	EPT0571	180810_M00146_0085_000000000-D4HK5
PROJECT_WIZARD_0005_Bn_P_PE_313_WT	0.01749	100	1.516	0.264099	82.3	27.5608	18.6599	32.7194	21.0599	98.9075	46.2207	38.0737	1.206903	2.071247	2.5	PROJECT_WIZARD	EPT0575	180810_M00146_0085_000000000-D4HK5
PROJECT_WIZARD_0006_Bn_P_PE_298_WT	0.017327	99.9	1.509	0.261532	80.8	19.1729	17.3286	47.2117	16.2867	98.3572	36.5016	29.5213	1.190407	9999	6.6	PROJECT_WIZARD	EPT0580	180810_M00146_0085_000000000-D4HK5
PROJECT_WIZARD_0007_Bn_P_PE_305_WT	0.01709	100	1.461	0.258059	81.7	35.2877	21.2185	26.9417	16.5521	99.0942	56.5062	46.1852	1.087756	1.737006	2.3	PROJECT_WIZARD	EPT0627	180810_M00146_0085_000000000-D4HK5
PROJECT_WIZARD_0008_Bn_P_PE_305_WT	0.015734	100	1.496	0.2375834	83.2	37.4134	22.3614	23.2955	16.9297	99.1404	59.7748	49.7432	1.076494	0.59375	1.6	PROJECT_WIZARD	EPT0633	180810_M00146_0085_000000000-D4HK5
PROJECT_WIZARD_0009_Bn_P_PE_353_WT	0.011087	99.9	1.147	0.1672778	95.1	38.3924	26.8215	16.4836	18.3026	99.3214	65.2139	62.0779	0.848079	0.966667	4.4	PROJECT_WIZARD	EPT0637	181018_M00753_0068_d4wv5
PROJECT_WIZARD_0010_Bn_P_PE_352_WT	0.011571	99.9	1.135	0.1746768	94.3	25.6882	17.385	43.369	13.5577	99.0355	43.0732	40.6319	1.132502	2.190135	2.2	PROJECT_WIZARD	EPT0647	181018_M00753_0068_d4wv5
PROJECT_WIZARD_0011_Bn_P_PE_345_WT	0.010556	99.9	1.089	0.1593654	95.2	24.7034	18.6766	39.2803	17.3398	99.0991	43.3799	41.3151	0.83401	1.006604	2.9	PROJECT_WIZARD	EPT0650	181018_M00753_0068_d4wv5
PROJECT_WIZARD_0012_Bn_P_PE_338_WT	0.015405	99.9	1.523	0.2324192	91.2	23.8381	25.0587	18.4046	32.6987	99.4552	48.8968	44.6159	0.94239	1.375313	8.5	PROJECT_WIZARD	EPT0688	181018_M00753_0068_d4wv5
PROJECT_WIZARD_0013_Bn_P_PE_354_WT	0.014695	99.9	1.146	0.221819	95.2	28.712	22.9114	30.7669	17.6097	99.5108	51.6234	49.1493	1.125087	1.030672	5.2	PROJECT_WIZARD	EPT0689	181018_M00753_0068_d4wv5
PROJECT_WIZARD_0014_Bn_P_PE_372_WT	0.013703	99.5	1.476	0.2059036	96.1	7.9031	39.6312	21.501	30.9648	98.7228	47.5342	45.6806	0.827733	1.28169	35.5	PROJECT_WIZARD	EPT0691	181018_M00753_0068_d4wv5
PROJECT_WIZARD_0015_Bn_P_PE_396_WT	0.011442	99.9	1.056	0.1726534	96.4	19.1716	18.7882	43.431	18.6092	98.388	37.9598	36.6185	0.750303	1.347302	6.2	PROJECT_WIZARD	EPT0714	181018_M00753_0068_d4wv5
PROJECT_WIZARD_0016_Bn_P_PE_347_WT	0.007711	99.8	1.09	0.1163002	95.3	36.7028	29.9151	18.3472	15.0349	99.3014	66.618	63.4946	0.812027	0.815761	7.7	PROJECT_WIZARD	EPT0752	181018_M00753_0068_d4wv5
PROJECT_WIZARD_0018_Bn_P_PE_316_WT	0.012314	99.9	1.401	0.1858508	80.4	27.35	20.8762	34.5942	17.1795	99.2144	48.2263	38.8177	0.759189	1.323529	4.2	PROJECT_WIZARD	EPT0817	181018_M00753_0068_d4wv5
