samples	BAMQC_TOTALREADS	BAMQC_PAIREDREADS	BAMQC_PROPPAIREDREADS	BAMQC_UNMAPREADS	BAMQC_MATEUNMAPREADS	BAMQC_SECONDARYREADS	BAMQC_QUALFAILREADS	BAMQC_READSONTARGET	BAMQC_READSPERSTARTPOINT	BAMQC_AVGREADLENGTH	BAMQC_INSERTMEAN	BAMQC_INSERTSD	BAMQC_SOFTCLIPBASES	BAMQC_HARDCLIPBASES	BAMQC_MISMATCHBASES	run	project	groupID
PROJECT_QUARTZ_0007_Co_P_PE_1151_WG	0.000533	67.5422138836773	64.1651031894934	3.37711069418387	3	6.56660412757974	120	67.5422138836773	1.30181818181818	151	136.666666666667	69.2881094074817	13979	0	261	190913_M00753_0161_000000000-D4F7N	PROJECT_QUARTZ	TB2018001_FFPE_Nextflex_500ng
PROJECT_QUARTZ_0007_Co_P_PE_1438_WG	0.000642	73.8317757009346	65.7320872274143	2.49221183800623	2	5.60747663551402	116	73.8317757009346	1.29234972677596	151	143.186046511628	78.150438054376	16518	0	276	190913_M00753_0161_000000000-D4F7N	PROJECT_QUARTZ	TB2018001_FFPE_Nextflex_200ng
PROJECT_QUARTZ_0007_Co_P_PE_1829_WG	0.002723	75.7253029746603	70.2901211898641	3.01138450238707	15	5.98604480352552	416	75.7253029746603	1.24909090909091	151	155.088449531738	73.2334192560413	55692	0	2974	190913_M00753_0161_000000000-D4F7N	PROJECT_QUARTZ	TB2018001_FFPE_Nextflex_100ng
PROJECT_QUARTZ_0007_Co_P_PE_2154_WG	0.001702	77.0857814336075	70.4465334900118	1.23384253819036	2	7.2855464159812	245	77.0857814336075	1.1747311827957	151	177.665008291874	81.8652204208367	25842	0	1428	190913_M00753_0161_000000000-D4F7N	PROJECT_QUARTZ	TB2018001_FFPE_Nextflex_50ng
PROJECT_QUARTZ_0007_Co_P_PE_2701_WG	0.001503	73.7857618097139	67.7312042581504	1.39720558882236	1	5.78842315369261	286	73.7857618097139	1.21491228070175	151	170.51953125	77.1690489673825	21249	0	927	190913_M00753_0161_000000000-D4F7N	PROJECT_QUARTZ	TB2018001_FFPE_Nextflex_10ng
PROJECT_QUARTZ_0007_Co_P_PE_547_WG	0.07179	66.6987045549519	61.7787992756651	10.8232344337651	284	5.26814319543112	12355	66.6987045549519	1.17291722803321	151	174.838549361988	74.994308509962	930513	0	44801	190913_M00753_0161_000000000-D4F7N	PROJECT_QUARTZ	TB2018001_FFPE_IDT_10ng
PROJECT_QUARTZ_0007_Co_P_PE_683_WG	0.236576	40.9149702421209	36.6808129311511	38.9857804680103	2737	2.71540646557554	41126	40.9149702421209	1.11407426164223	151	187.509519140883	89.3586531636805	2905658	0	124101	190913_M00753_0161_000000000-D4F7N	PROJECT_QUARTZ	TB2018001_FFPE_IDT_50ng
PROJECT_QUARTZ_0007_Co_P_PE_710_WG	0.191036	69.5895014552231	64.1088590632132	8.89047090600724	653	6.73799702673842	28239	69.5895014552231	1.17962323753071	151	171.587431782744	72.913312097279	2732150	0	154714	190913_M00753_0161_000000000-D4F7N	PROJECT_QUARTZ	TB2018001_FFPE_IDT_200ng
PROJECT_QUARTZ_0007_Co_P_PE_711_WG	0.231314	69.8185150920394	63.4107749639019	4.58856792066196	428	8.25112185168213	40114	69.8185150920394	1.15410011791186	151	176.177954937458	70.6230960674312	2971014	0	151882	190913_M00753_0161_000000000-D4F7N	PROJECT_QUARTZ	TB2018001_FFPE_IDT_500ng
PROJECT_QUARTZ_0007_Co_P_PE_720_WG	0.173351	61.1516518508691	55.6477897445068	16.4515924338481	998	5.022757295891	30118	61.1516518508691	1.13155141862897	151	184.86203629323	78.5274991667275	2020013	0	108953	190913_M00753_0161_000000000-D4F7N	PROJECT_QUARTZ	TB2018001_FFPE_IDT_100ng
PROJECT_QUARTZ_0008_Co_P_PE_603_WG	0.11484	89.1553465691397	88.6320097526994	0.956112852664577	144	0.588645071403692	10680	89.1553465691397	1.01108005885666	151	322.64	115.870423551063	152817	0	45960	190913_M00753_0161_000000000-D4F7N	PROJECT_QUARTZ	NA12878_FF_IDT_25ng
PROJECT_QUARTZ_0008_Co_P_PE_745_WG	0.19725	88.0187579214195	87.2973384030418	2.01875792141952	302	0.616476552598226	18435	88.0187579214195	1.01342548273366	151	349.800786780235	140.17925120977	343543	0	90243	190913_M00753_0161_000000000-D4F7N	PROJECT_QUARTZ	NA12878_FF_IDT_50ng
PROJECT_QUARTZ_0008_Co_P_PE_756_WG	0.321007	87.6588361001474	86.6859601192497	1.99839878881146	414	0.684408751211033	31004	87.6588361001474	1.02023871678851	151	297.538973173054	127.254322400903	717953	0	141841	190913_M00753_0161_000000000-D4F7N	PROJECT_QUARTZ	NA12878_FF_IDT_200ng
PROJECT_QUARTZ_0008_Co_P_PE_812_WG	0.243596	87.8269758124107	87.0654690553211	1.84773148984384	327	0.657646266769569	23550	87.8269758124107	1.01535789203915	151	327.495583138703	135.27023996603	463594	0	111643	190913_M00753_0161_000000000-D4F7N	PROJECT_QUARTZ	NA12878_FF_IDT_100ng
PROJECT_QUARTZ_0008_Co_P_PE_818_WG	0.083482	87.1577106442107	86.5300304257205	2.54545890132005	194	0.608514410292039	8088	87.1577106442107	1.00214864194808	151	474.572974618727	145.56910414016	97240	0	45826	190913_M00753_0161_000000000-D4F7N	PROJECT_QUARTZ	NA12878_FF_IDT_1ng
PROJECT_QUARTZ_0008_Co_P_PE_871_WG	0.064837	89.9764023628484	88.1209803044558	0.644693616299335	103	0.652405262427318	5658	89.9764023628484	1.00306057531939	151	474.681389005455	147.671403255543	67845	0	40327	190913_M00753_0161_000000000-D4F7N	PROJECT_QUARTZ	NA12878_FF_Nextflex_25ng
PROJECT_QUARTZ_0008_Co_P_PE_872_WG	0.063767	89.6388414069973	87.4041432088698	0.395188733984663	55	0.682171028902097	5920	89.6388414069973	1.00285984981403	151	482.425692153206	152.138299895237	52483	0	33743	190913_M00753_0161_000000000-D4F7N	PROJECT_QUARTZ	NA12878_FF_Nextflex_200ng
